,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
62, A Class,2013,11998,Manual,13680,Petrol,125,51.4,1.6
63, A Class,2016,13900,Manual,16349,Diesel,20,72.4,1.5
64, A Class,2014,10498,Manual,63177,Diesel,30,64.2,2.1
65, A Class,2014,13998,Semi-Auto,29670,Diesel,20,68.9,2.1
66, A Class,2019,21998,Semi-Auto,11578,Petrol,150,53.3,1.3
67, A Class,2017,16798,Manual,24388,Diesel,20,68.9,1.5
68, A Class,2017,15498,Manual,35295,Diesel,20,68.9,1.5
69, A Class,2014,10998,Semi-Auto,58500,Diesel,30,65.7,1.8
70, A Class,2013,15498,Semi-Auto,27415,Petrol,160,44.1,2.0
71, A Class,2015,11498,Manual,32648,Diesel,0,74.3,1.5
72, A Class,2015,12380,Manual,34119,Diesel,20,70.6,1.5
73, A Class,2013,13998,Semi-Auto,29698,Diesel,30,64.2,2.1
74, A Class,2018,17498,Manual,8601,Petrol,145,51.4,1.6
75, A Class,2019,23000,Semi-Auto,7864,Petrol,145,53.3,1.3
76, A Class,2019,20998,Semi-Auto,18881,Diesel,145,67.3,1.5
77, A Class,2017,14490,Manual,14122,Petrol,150,51.4,1.6
78, A Class,2018,29990,Semi-Auto,22923,Petrol,150,40.9,2.0
79, A Class,2014,12990,Semi-Auto,41362,Petrol,145,49.6,1.6
80, A Class,2019,20998,Semi-Auto,6354,Diesel,145,65.7,1.5
81, A Class,2019,21290,Automatic,12046,Diesel,145,67.3,1.5
82, A Class,2017,13990,Semi-Auto,17603,Petrol,125,53.3,1.6
83, A Class,2016,15990,Manual,19715,Diesel,30,62.8,2.1
84, A Class,2018,17490,Manual,15049,Diesel,145,62.8,2.1
85, A Class,2020,22490,Automatic,3521,Diesel,145,56.5,2.0
86, A Class,2020,21750,Manual,4001,Petrol,145,47.1,1.3
87, A Class,2020,21750,Manual,2896,Petrol,145,47.1,1.3
88, A Class,2017,13790,Manual,18332,Petrol,125,51.4,1.6
89, A Class,2019,20950,Semi-Auto,4692,Diesel,145,65.7,1.3
90, A Class,2016,16450,Manual,25623,Petrol,200,41.5,2.0
91, A Class,2019,21990,Automatic,6954,Diesel,145,67.3,1.5
92, A Class,2017,15590,Semi-Auto,34553,Diesel,145,68.9,2.1
93, A Class,2019,99950,Automatic,2013,Petrol,145,22.6,4.0
94, A Class,2019,20990,Semi-Auto,15059,Diesel,145,67.3,1.5
95, A Class,2019,21450,Semi-Auto,11712,Diesel,145,67.3,1.5
96, A Class,2018,20295,Semi-Auto,9748,Petrol,145,53.3,1.3
97, A Class,2018,18990,Semi-Auto,12449,Petrol,145,53.3,1.3
98, A Class,2019,19990,Semi-Auto,9191,Petrol,145,53.3,1.3
99, A Class,2019,18490,Semi-Auto,6725,Diesel,145,68.9,1.5
100, A Class,2019,21450,Semi-Auto,11597,Diesel,145,67.3,1.5
101, A Class,2018,17990,Semi-Auto,15907,Diesel,145,65.7,1.5
102, A Class,2018,17990,Semi-Auto,16196,Diesel,145,65.7,1.5
103, A Class,2018,19498,Semi-Auto,12353,Petrol,145,53.3,1.3
104, A Class,2015,13109,Semi-Auto,24091,Diesel,20,68.9,2.1
105, A Class,2019,19990,Semi-Auto,12456,Petrol,145,53.3,1.3
106, A Class,2015,10991,Semi-Auto,67865,Diesel,20,68.9,2.1
107, A Class,2014,13251,Semi-Auto,41700,Diesel,20,64.2,2.1
108, A Class,2016,15291,Semi-Auto,10730,Diesel,20,70.6,2.1
109, A Class,2016,14521,Manual,35005,Diesel,30,62.8,2.1
110, A Class,2018,20991,Semi-Auto,19561,Petrol,150,45.6,2.0
111, A Class,2016,15378,Manual,21256,Diesel,30,62.8,2.1
112, A Class,2016,15597,Semi-Auto,20866,Diesel,20,70.6,2.1
113, A Class,2018,20991,Semi-Auto,5322,Petrol,145,53.3,1.3
114, A Class,2019,19511,Semi-Auto,10543,Diesel,145,68.9,1.5
115, A Class,2017,17047,Semi-Auto,14951,Diesel,145,68.9,2.1
116, A Class,2017,27990,Semi-Auto,17299,Petrol,200,40.9,2.0
117, A Class,2016,16411,Semi-Auto,18914,Diesel,20,68.9,2.1
118, A Class,2017,27490,Semi-Auto,31775,Petrol,145,40.9,2.0
119, A Class,2019,21250,Semi-Auto,4878,Petrol,145,53.3,1.3
120, A Class,2019,18240,Automatic,15806,Diesel,145,68.9,1.5
121, A Class,2019,20991,Semi-Auto,8728,Petrol,145,53.3,1.3
122, A Class,2019,21291,Semi-Auto,13361,Diesel,145,67.3,1.5
123, A Class,2019,21190,Semi-Auto,14703,Diesel,145,67.3,1.5
124, A Class,2019,18990,Semi-Auto,13145,Diesel,145,68.9,1.5
125, A Class,2013,14498,Semi-Auto,25064,Petrol,160,45.6,2.0
126, A Class,2015,11998,Semi-Auto,50244,Diesel,20,68.9,1.5
127, A Class,2019,20741,Semi-Auto,11112,Petrol,145,53.3,1.3
128, A Class,2018,20490,Semi-Auto,640,Petrol,145,53.3,1.3
129, A Class,2018,17990,Semi-Auto,20238,Petrol,145,53.3,1.3
130, A Class,2019,19990,Semi-Auto,8293,Petrol,145,53.3,1.3
131, A Class,2018,18490,Semi-Auto,10857,Petrol,145,53.3,1.3
132, A Class,2019,18085,Semi-Auto,14669,Diesel,145,68.9,1.5
133, A Class,2019,20640,Semi-Auto,5864,Petrol,145,53.3,1.3
134, A Class,2019,19599,Manual,13993,Petrol,145,28.5,1.3
135, A Class,2019,20450,Manual,8428,Petrol,145,28.5,1.3
136, A Class,2016,13490,Semi-Auto,33530,Diesel,20,74.3,1.5
137, A Class,2016,14490,Manual,33626,Petrol,145,49.6,1.6
138, A Class,2017,14270,Semi-Auto,65000,Diesel,20,68.9,2.1
139, A Class,2017,16498,Semi-Auto,37010,Diesel,145,68.9,2.1
140, A Class,2019,19991,Semi-Auto,13570,Petrol,145,53.3,1.3
141, A Class,2019,19531,Manual,17447,Petrol,145,28.5,1.3
142, A Class,2019,21530,Semi-Auto,14817,Diesel,145,67.3,1.5
143, A Class,2019,21035,Automatic,3166,Petrol,145,47.9,1.3
144, A Class,2018,20570,Semi-Auto,1468,Petrol,145,53.3,1.3
145, A Class,2018,18990,Semi-Auto,5020,Petrol,145,53.3,1.3
146, A Class,2019,20991,Semi-Auto,2513,Diesel,145,65.7,1.5
147, A Class,2019,20990,Semi-Auto,14975,Diesel,145,67.3,1.5
148, A Class,2019,18190,Semi-Auto,12162,Diesel,145,65.7,1.5
149, A Class,2019,19250,Manual,11381,Petrol,145,28.5,1.3
150, A Class,2019,20990,Manual,2158,Petrol,145,47.1,1.3
151, A Class,2019,20750,Semi-Auto,3915,Petrol,145,47.9,1.3
152, A Class,2019,18190,Automatic,13264,Diesel,145,68.9,1.5
153, A Class,2018,15995,Manual,16782,Diesel,145,72.4,1.5
154, A Class,2016,13695,Manual,41600,Diesel,0,80.7,1.5
155, A Class,2016,14999,Semi-Auto,19286,Petrol,125,53.3,1.6
156, A Class,2017,16999,Manual,17781,Petrol,145,49.6,1.6
157, A Class,2020,26999,Semi-Auto,2000,Diesel,145,62.8,1.5
158, A Class,2020,26499,Semi-Auto,2600,Petrol,145,53.3,1.3
159, A Class,2016,12390,Manual,49846,Diesel,20,72.4,1.5
160, A Class,2016,13999,Manual,28024,Diesel,20,72.4,1.5
161, A Class,2019,24995,Semi-Auto,4500,Diesel,145,67.3,1.5
162, A Class,2020,26999,Semi-Auto,1000,Diesel,145,67.3,1.5
163, A Class,2020,23999,Semi-Auto,2300,Petrol,145,53.3,1.3
164, A Class,2020,23999,Semi-Auto,2000,Petrol,145,53.3,1.3
165, A Class,2018,19490,Automatic,6731,Petrol,145,53.3,1.3
166, A Class,2019,20461,Semi-Auto,14658,Petrol,145,53.3,1.3
167, A Class,2019,18499,Semi-Auto,14978,Diesel,145,65.7,1.5
168, A Class,2019,18499,Semi-Auto,14736,Diesel,145,65.7,1.5
169, A Class,2019,18499,Semi-Auto,15383,Diesel,145,65.7,1.5
170, A Class,2019,18499,Semi-Auto,18585,Diesel,145,65.7,1.5
171, A Class,2019,18499,Semi-Auto,17160,Diesel,145,65.7,1.5
172, A Class,2019,18499,Semi-Auto,14521,Diesel,145,65.7,1.5
173, A Class,2019,104999,Semi-Auto,5822,Petrol,150,22.6,4.0
174, A Class,2020,24799,Semi-Auto,1400,Petrol,145,28.5,1.3
175, A Class,2019,21991,Semi-Auto,9389,Petrol,145,28.5,1.3
176, A Class,2018,19350,Semi-Auto,14792,Diesel,145,67.3,1.5
177, A Class,2017,16550,Manual,11460,Petrol,145,49.6,1.6
178, A Class,2018,16450,Manual,22883,Diesel,145,68.9,1.5
179, A Class,2017,14998,Semi-Auto,30626,Diesel,150,74.3,1.5
180, A Class,2017,16998,Semi-Auto,19321,Diesel,150,68.9,2.1
181, A Class,2016,19798,Automatic,17567,Petrol,200,42.8,2.0
182, A Class,2019,20850,Semi-Auto,12220,Petrol,145,53.3,1.3
183, A Class,2019,20980,Semi-Auto,9767,Petrol,145,53.3,1.3
184, A Class,2018,19490,Automatic,7286,Petrol,145,53.3,1.3
185, A Class,2018,19660,Automatic,5177,Petrol,145,53.3,1.3
186, A Class,2017,15840,Manual,24814,Diesel,145,62.8,2.1
187, A Class,2017,17600,Manual,12343,Diesel,145,68.9,1.5
188, A Class,2014,10650,Manual,47280,Diesel,20,72.4,1.5
189, A Class,2017,29840,Semi-Auto,23786,Petrol,145,40.9,2.0
190, A Class,2019,19840,Automatic,12066,Petrol,145,53.3,1.3
191, A Class,2016,15290,Manual,39162,Diesel,30,62.8,2.1
192, A Class,2019,20780,Semi-Auto,11324,Petrol,145,53.3,1.3
193, A Class,2017,15750,Semi-Auto,21000,Diesel,145,74.3,1.5
194, A Class,2017,16980,Manual,15734,Diesel,145,62.8,2.1
195, A Class,2019,19990,Semi-Auto,12503,Petrol,145,53.3,1.3
196, A Class,2016,14580,Manual,13232,Diesel,30,65.7,2.1
197, A Class,2014,10990,Semi-Auto,49799,Diesel,20,68.9,2.1
198, A Class,2013,10630,Semi-Auto,52214,Diesel,30,65.7,1.8
199, A Class,2019,21490,Automatic,23000,Diesel,145,67.3,1.5
200, A Class,2016,12780,Manual,42769,Diesel,20,72.4,1.5
201, A Class,2018,18290,Semi-Auto,7034,Diesel,145,68.9,1.5
202, A Class,2016,11990,Manual,39853,Diesel,20,72.4,1.5
203, A Class,2013,9498,Manual,80158,Diesel,30,62.8,1.8
204, A Class,2014,10495,Manual,53954,Diesel,20,70.6,1.5
205, A Class,2018,20490,Semi-Auto,7024,Diesel,145,67.3,1.5
206, A Class,2018,20490,Automatic,7148,Diesel,145,67.3,1.5
207, A Class,2018,18990,Semi-Auto,17423,Diesel,145,67.3,1.5
208, A Class,2019,19990,Semi-Auto,9980,Diesel,145,67.3,1.5
209, A Class,2016,15770,Semi-Auto,31711,Diesel,20,67.3,2.1
210, A Class,2017,15499,Semi-Auto,18138,Petrol,125,53.3,1.6
211, A Class,2019,13498,Semi-Auto,30200,Diesel,145,67.3,1.5
212, A Class,2014,12498,Semi-Auto,35677,Diesel,20,68.9,2.1
213, A Class,2018,17218,Semi-Auto,16141,Diesel,145,70.6,2.1
214, A Class,2018,19097,Semi-Auto,7844,Petrol,145,53.3,1.3
215, A Class,2018,19097,Semi-Auto,10494,Petrol,145,53.3,1.3
216, A Class,2020,21990,Manual,151,Petrol,145,47.1,1.3
217, A Class,2020,25990,Semi-Auto,2000,Petrol,145,47.9,1.3
218, A Class,2015,13500,Semi-Auto,35343,Diesel,20,68.9,2.1
219, A Class,2019,27799,Semi-Auto,565,Petrol,145,28.5,2.0
220, A Class,2017,79999,Semi-Auto,13781,Petrol,145,30.1,4.0
221, A Class,2019,18499,Semi-Auto,18588,Diesel,145,65.7,1.5
222, A Class,2018,19097,Semi-Auto,9753,Petrol,145,53.3,1.3
223, A Class,2018,19097,Semi-Auto,7456,Petrol,145,53.3,1.3
224, A Class,2018,18927,Semi-Auto,15013,Diesel,145,65.7,1.5
225, A Class,2018,19127,Semi-Auto,15116,Diesel,145,65.7,1.5
226, A Class,2019,21835,Semi-Auto,9422,Diesel,145,67.3,1.5
227, A Class,2019,20130,Semi-Auto,5263,Petrol,145,53.3,1.3
228, A Class,2018,18436,Semi-Auto,7756,Diesel,145,68.9,1.5
229, A Class,2019,18718,Semi-Auto,14825,Diesel,145,68.9,1.5
230, A Class,2017,19231,Automatic,23174,Diesel,145,68.9,2.1
231, A Class,2019,18499,Semi-Auto,16467,Diesel,145,65.7,1.5
232, A Class,2016,12456,Manual,49436,Diesel,20,72.4,1.5
233, A Class,2017,16979,Manual,11811,Diesel,20,68.9,1.5
234, A Class,2018,15694,Manual,43396,Diesel,145,68.9,1.5
235, A Class,2020,25490,Semi-Auto,2000,Petrol,145,45.6,2.0
236, A Class,2018,20855,Semi-Auto,8279,Petrol,145,53.3,1.3
237, A Class,2019,19990,Manual,13862,Petrol,145,28.5,1.3
238, A Class,2019,19990,Manual,14210,Petrol,145,28.5,1.3
239, A Class,2019,21840,Semi-Auto,10904,Diesel,145,67.3,1.5
240, A Class,2017,16898,Manual,24093,Diesel,150,62.8,2.1
241, A Class,2016,14999,Semi-Auto,22433,Diesel,20,74.3,1.5
242, A Class,2019,19999,Manual,7709,Petrol,150,28.5,1.3
243, A Class,2018,19297,Automatic,7236,Petrol,145,53.3,1.3
244, A Class,2018,18885,Automatic,7047,Petrol,145,53.3,1.3
245, A Class,2019,22990,Semi-Auto,11520,Petrol,145,53.3,1.3
246, A Class,2019,18904,Semi-Auto,7848,Diesel,145,68.9,1.5
247, A Class,2018,18250,Semi-Auto,22239,Petrol,145,52.3,1.6
248, A Class,2014,9500,Manual,66237,Diesel,20,72.4,1.5
249, A Class,2018,18995,Semi-Auto,13189,Petrol,145,52.3,1.6
250, A Class,2017,16190,Manual,33912,Diesel,20,68.9,1.5
251, A Class,2017,15990,Manual,22231,Petrol,145,49.6,1.6
252, A Class,2013,10950,Manual,56000,Diesel,20,70.6,1.5
253, A Class,2016,15750,Semi-Auto,52964,Diesel,20,67.3,2.1
254, A Class,2016,15990,Semi-Auto,52518,Diesel,20,67.3,2.1
255, A Class,2013,14990,Automatic,26038,Petrol,160,44.1,2.0
256, A Class,2017,16450,Semi-Auto,37112,Diesel,20,68.9,2.1
257, A Class,2018,16195,Automatic,22000,Petrol,145,52.3,1.6
258, A Class,2014,12450,Manual,55253,Diesel,30,62.8,2.1
259, A Class,2014,11990,Manual,61307,Diesel,20,70.6,1.5
260, A Class,2018,16499,Manual,30066,Diesel,150,68.9,1.5
261, A Class,2019,24795,Semi-Auto,4499,Petrol,145,28.5,1.3
262, A Class,2016,13999,Manual,21396,Diesel,20,72.4,1.5
263, A Class,2017,15065,Semi-Auto,14219,Petrol,30,55.4,1.6
264, A Class,2018,18998,Semi-Auto,14232,Diesel,145,65.7,1.5
265, A Class,2014,12998,Manual,39558,Diesel,20,70.6,1.5
266, A Class,2014,12498,Semi-Auto,43904,Diesel,20,68.9,2.1
267, A Class,2015,12998,Semi-Auto,42724,Diesel,20,68.9,2.1
268, A Class,2014,11498,Manual,60321,Diesel,20,70.6,1.5
269, A Class,2014,13799,Semi-Auto,52311,Diesel,20,64.2,2.1
270, A Class,2019,21499,Semi-Auto,9198,Diesel,150,56.5,2.0
271, A Class,2016,14495,Semi-Auto,55769,Diesel,20,68.9,2.1
272, A Class,2017,17695,Automatic,7145,Diesel,145,74.3,1.5
273, A Class,2017,15995,Semi-Auto,10839,Petrol,145,55.4,1.6
274, A Class,2017,17695,Semi-Auto,7145,Diesel,150,74.3,1.5
275, A Class,2013,11036,Manual,50674,Diesel,125,61.4,1.8
276, A Class,2013,12498,Semi-Auto,38301,Petrol,150,49.6,1.6
277, A Class,2014,13750,Automatic,49211,Diesel,30,64.2,1.8
278, A Class,2014,9914,Manual,55058,Diesel,20,72.4,1.5
279, A Class,2014,11353,Manual,53520,Diesel,30,64.2,2.1
280, A Class,2016,14056,Manual,32846,Diesel,20,68.9,1.5
281, A Class,2016,15990,Manual,17071,Diesel,30,62.8,2.1
282, A Class,2019,21998,Manual,3270,Petrol,150,28.5,1.3
283, A Class,2015,12798,Manual,54859,Diesel,20,70.6,1.5
284, A Class,2014,10490,Manual,37642,Diesel,0,78.5,1.5
285, A Class,2015,22553,Automatic,25191,Petrol,200,40.9,2.0
286, A Class,2015,11990,Semi-Auto,42600,Diesel,30,68.9,1.5
287, A Class,2017,15998,Semi-Auto,38457,Diesel,20,68.9,2.1
288, A Class,2015,14999,Semi-Auto,38938,Diesel,20,68.9,2.1
289, A Class,2016,16490,Semi-Auto,27189,Diesel,20,68.9,2.1
290, A Class,2014,10790,Manual,43613,Petrol,145,49.6,1.6
291, A Class,2017,19998,Semi-Auto,28129,Petrol,145,45.6,2.0
292, A Class,2015,10490,Semi-Auto,49816,Diesel,0,70.6,1.5
293, A Class,2014,13532,Semi-Auto,31279,Diesel,20,64.2,2.1
294, A Class,2015,13177,Automatic,18284,Petrol,125,50.4,1.6
295, A Class,2015,18500,Semi-Auto,29917,Petrol,160,45.6,2.0
296, A Class,2016,15765,Manual,17678,Diesel,20,68.9,1.5
297, A Class,2016,16500,Semi-Auto,37538,Diesel,20,74.3,1.5
298, A Class,2015,18500,Automatic,29917,Petrol,160,45.6,2.0
299, A Class,2014,13250,Automatic,49211,Diesel,30,64.2,1.8
300, A Class,2015,15000,Automatic,20275,Petrol,125,53.3,1.6
301, A Class,2016,14250,Manual,54446,Diesel,20,68.9,1.5
302, A Class,2018,18562,Semi-Auto,18905,Diesel,145,65.7,1.5
303, A Class,2017,13790,Manual,18727,Petrol,150,52.3,1.6
304, A Class,2016,14590,Manual,12995,Diesel,20,72.4,1.5
305, A Class,2018,16998,Semi-Auto,23951,Petrol,150,49.6,1.6
306, A Class,2017,15995,Semi-Auto,10839,Petrol,145,55.4,1.6
307, A Class,2015,11995,Semi-Auto,66037,Diesel,20,68.9,2.1
308, A Class,2018,19998,Semi-Auto,4888,Petrol,145,53.3,1.3
309, A Class,2013,9480,Semi-Auto,63922,Diesel,30,65.7,1.8
310, A Class,2019,22096,Automatic,12272,Diesel,145,67.3,1.5
311, A Class,2016,12862,Manual,34458,Petrol,145,50.4,1.6
312, A Class,2017,17490,Automatic,12355,Diesel,145,68.9,2.1
313, A Class,2016,27995,Semi-Auto,11532,Petrol,200,40.9,2.0
314, A Class,2015,19600,Automatic,29917,Petrol,160,45.6,2.0
315, A Class,2015,15500,Automatic,20275,Petrol,125,53.3,1.6
316, A Class,2020,25980,Manual,2502,Petrol,145,47.1,1.3
317, A Class,2017,18012,Semi-Auto,27999,Diesel,20,67.3,2.1
318, A Class,2017,16592,Semi-Auto,28082,Diesel,145,70.6,2.1
319, A Class,2019,20776,Semi-Auto,6722,Diesel,145,65.7,1.5
320, A Class,2014,10765,Manual,45000,Diesel,30,64.2,2.1
321, A Class,2014,9761,Manual,50116,Diesel,0,78.5,1.5
322, A Class,2019,26470,Automatic,5120,Diesel,145,56.5,2.0
323, A Class,2019,32300,Automatic,9509,Petrol,145,35.8,2.0
324, A Class,2019,21630,Automatic,9931,Diesel,145,62.8,1.5
325, A Class,2015,13491,Semi-Auto,42331,Diesel,30,65.7,1.5
326, A Class,2016,19491,Semi-Auto,25550,Petrol,165,45.6,2.0
327, A Class,2019,21480,Semi-Auto,10,Diesel,145,56.5,2.0
328, A Class,2019,28800,Automatic,4672,Diesel,145,62.8,1.5
329, A Class,2019,26990,Automatic,2380,Diesel,145,62.8,1.5
330, A Class,2015,19600,Automatic,29917,Petrol,160,45.6,2.0
331, A Class,2017,15490,Manual,40014,Diesel,30,62.8,2.1
332, A Class,2019,24451,Automatic,12001,Diesel,145,65.7,1.5
333, A Class,2020,24260,Semi-Auto,5501,Diesel,145,56.5,2.0
334, A Class,2020,25961,Manual,871,Petrol,145,44.8,1.3
335, A Class,2019,26480,Automatic,2856,Petrol,145,47.9,1.3
336, A Class,2016,34981,Semi-Auto,13912,Petrol,240,40.9,2.0
337, A Class,2017,15790,Manual,26993,Diesel,20,68.9,1.5
338, A Class,2014,11040,Semi-Auto,31905,Diesel,20,70.6,1.5
339, A Class,2017,16495,Semi-Auto,29062,Diesel,145,74.3,1.5
340, A Class,2017,15012,Manual,34099,Petrol,125,51.4,1.6
341, A Class,2019,22276,Automatic,3477,Diesel,145,67.3,1.5
342, A Class,2014,12750,Automatic,37700,Petrol,125,52.3,1.6
343, A Class,2018,15732,Automatic,19281,Diesel,145,74.3,1.5
344, A Class,2019,22306,Automatic,9722,Diesel,145,67.3,1.5
345, A Class,2015,10914,Manual,61659,Diesel,30,64.2,2.1
346, A Class,2013,8500,Manual,69031,Petrol,125,51.4,1.6
347, A Class,2016,10691,Manual,65631,Diesel,20,72.4,1.5
348, A Class,2016,15790,Manual,20565,Diesel,30,62.8,2.1
349, A Class,2014,9742,Manual,53120,Diesel,20,72.4,1.5
350, A Class,2016,16820,Semi-Auto,27227,Diesel,20,68.9,2.1
351, A Class,2014,10490,Manual,38124,Diesel,20,72.4,1.5
352, A Class,2015,11710,Manual,22171,Petrol,125,51.4,1.6
353, A Class,2018,19891,Semi-Auto,25677,Petrol,150,53.3,1.3
354, A Class,2017,18898,Semi-Auto,11388,Diesel,20,67.3,2.1
355, A Class,2013,8498,Manual,75006,Diesel,20,72.4,1.5
356, A Class,2017,16045,Manual,17301,Diesel,145,62.8,2.1
357, A Class,2017,16980,Automatic,21430,Petrol,145,52.3,1.6
358, A Class,2018,19950,Automatic,89,Diesel,145,65.7,1.5
359, A Class,2018,19950,Automatic,4997,Diesel,145,65.7,1.5
360, A Class,2018,19950,Automatic,89,Diesel,145,65.7,1.5
361, A Class,2016,17770,Automatic,19219,Diesel,20,67.3,2.1
362, A Class,2016,16780,Manual,15466,Petrol,145,49.6,1.6
363, A Class,2016,11970,Semi-Auto,65164,Diesel,20,74.3,1.5
364, A Class,2018,17320,Semi-Auto,18821,Diesel,145,74.3,1.5
365, A Class,2018,19860,Semi-Auto,11149,Diesel,145,65.7,1.5
366, A Class,2013,9770,Semi-Auto,66484,Petrol,145,50.4,1.6
367, A Class,2019,20150,Automatic,12763,Petrol,145,53.3,1.3
368, A Class,2019,31980,Semi-Auto,6512,Petrol,145,35.3,2.0
369, A Class,2018,18640,Semi-Auto,12801,Diesel,145,65.7,1.5
370, A Class,2018,18560,Semi-Auto,14378,Diesel,145,65.7,1.5
371, A Class,2018,18920,Semi-Auto,9171,Diesel,145,65.7,1.5
372, A Class,2018,18870,Semi-Auto,8459,Diesel,145,65.7,1.5
373, A Class,2017,17360,Semi-Auto,16005,Diesel,20,68.9,2.1
374, A Class,2014,20860,Automatic,31033,Petrol,200,40.9,2.0
375, A Class,2019,21660,Semi-Auto,15228,Diesel,145,67.3,1.5
376, A Class,2019,19720,Manual,14780,Petrol,145,28.5,1.3
377, A Class,2019,20270,Semi-Auto,7289,Petrol,145,53.3,1.3
378, A Class,2019,20640,Automatic,10208,Petrol,145,53.3,1.3
379, A Class,2019,23490,Manual,300,Petrol,145,47.1,1.3
380, A Class,2016,17490,Semi-Auto,19879,Petrol,125,52.3,1.6
381, A Class,2019,27990,Semi-Auto,3500,Diesel,145,56.5,2.0
382, A Class,2019,25490,Automatic,1700,Diesel,145,56.5,2.0
